dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required;manual_review_reason
Hannover;https://www.immometrica.com/de/offer/27443577;30900;Wedemark;Rubensweg 1, 30900, Wedemark;WEDEMARK – BISSENDORF VERMIETETE EIGENTUMS-WOHNUNG IM 3.OG MIT LOGGIA UND GARAGE;139000.0;67.5;6.2;4.9;32.0;135.0;Gepflegt;-;374.95;https://www.immometrica.com/de/offer/27443577;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/23865621;30455;Davenstedt;Wegsfeld 42, 30455 Hannover (Davenstedt);1- Zimmereigentumswohnung mit Balkon & Wellnessbereich im Terrassenhaus in Davenstedt;110000.0;55.3;6.4;0.5;350.0;210.0;Renovierungsbedürftig;gesunken;346.1;https://www.immometrica.com/de/offer/23865621;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27583819;30823;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;Attraktive Kapitalanlage: Vermietete Eigentumswohnung nahe Uni-Campus;99000.0;39.4;5.4;;21.0;;Modernisiert;gesunken;254.75;https://www.immometrica.com/de/offer/27583819;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/17902470;30880;Alt-Laatzen;Flemingstraße, 30880 Laatzen (Laatzen-Mitte);Gut geschnittene Etagenwohnung mit Sonnenbalkon und 1 Tiefgaragenplatz;105000.0;59.0;6.9;4.6;943.0;311.0;Gepflegt;-;358.59;https://www.immometrica.com/de/offer/17902470;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/27756888;30823;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;Attraktive Kapitalanlage: Vermietete Eigentumswohnung nahe Uni-Campus;99000.0;39.38;5.4;;6.0;;Modernisiert;-;256.23;https://www.immometrica.com/de/offer/27756888;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/27476408;31303;Burgdorf;31303, Burgdorf;Attraktive 2-Zimmer-Wohnung mit Balkon in ruhiger Lage von Burgdorf!;145000.0;71.0;5.7;;30.0;;Modernisiert;gesunken;258.33;https://www.immometrica.com/de/offer/27476408;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/24711918;30851;Alt-Langenhagen;Kurt-Schumacher-Allee 45, 30851 Langenhagen;Vermietete Zwei-Zimmer-Wohnung mit tollem Ausblick!;145000.0;62.26;5.4;4.0;268.0;385.0;Gepflegt;gesunken;211.35;https://www.immometrica.com/de/offer/24711918;>180 Tage;-30;Altinserat-Risiko: sehr lange online;True;stale_listing_risk
Hannover;https://www.immometrica.com/de/offer/26665777;30880;Alt-Laatzen;Gubiner Str. 8, 30880 Laatzen;Helle & großzügige 2-Zimmer-Wohnung mit sonnigem Balkon in guter Wohnlage;145000.0;61.6;5.3;3.2;100.0;;Gepflegt;-;220.87;https://www.immometrica.com/de/offer/26665777;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/25392464;30519;Hannover;Washingtonweg 1A, 30519 Hannover;Helle vermietete 1-Zimmer-Wohnung - ideal für Kapitalanleger;70000.0;34.0;6.9;7.5;223.0;199.33;Renovierungsbedürftig;gesunken;392.57;https://www.immometrica.com/de/offer/25392464;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/26195012;30419;Stöcken;Stöckener Strasse 91, 30419 Stöcken, Hannover;● Gehobene Qualität, Delta Bau Objekt ● Stöckener Str. 91, Hannover;138000.0;53.0;5.2;3.9;139.0;351.0;Gepflegt;-;178.71;https://www.immometrica.com/de/offer/26195012;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/23582066;30519;Mittelfeld;Washingtonweg 1A, 30519 Mittelfeld, Hannover;Moderne & frisch sanierte 1-Zimmer-Wohnung: hell, sonniger Balkon + schöner Ausblick ins Grüne;75000.0;25.39;6.6;;379.0;;Saniert;-;346.8;https://www.immometrica.com/de/offer/23582066;>180 Tage;-30;Altinserat-Renditefalle: hohe ROI, aber sehr lange online;True;stale_high_roi_risk
Hannover;https://www.immometrica.com/de/offer/26475994;30823;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;5.640€ Kaltmieteinnahmen jährlich! 1-Zimmer-Wohnung mit Balkon, Keller & EBK und top Energiewerten!;109000.0;39.0;5.1;5.2;116.0;397.0;Gepflegt;-;184.75;https://www.immometrica.com/de/offer/26475994;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/25867624;30952;Empelde;Breite Str. 17 C, 30952 Ronnenberg (Empelde);Sanierte Wohnung in zentraler Lage mit Westbalkon in Empelde/ Ronnenberg zu verkaufen;110000.0;53.2;5.7;;168.0;494.0;Neuwertig;-;220.92;https://www.immometrica.com/de/offer/25867624;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27678406;30419;Hannover;Lauckerthof 7, 30419 Hannover;Kapitalanlage in zentraler Lage von Hannover Stöcken - 2-Zimmer Wohnung mit Balkon ;114000.0;51.0;5.9;4.5;13.0;400.0;Gepflegt;-;246.12;https://www.immometrica.com/de/offer/27678406;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/23582360;30519;Hannover;Washingtonweg 1A, 30519 Mittelfeld, Hannover;Moderne & frisch sanierte 2-Zimmer-Wohnung: hell, freundlich + schöner Ausblick ins Grüne;95000.0;34.52;5.8;;378.0;;Saniert;-;293.66;https://www.immometrica.com/de/offer/23582360;>180 Tage;-30;Altinserat-Risiko: sehr lange online;True;stale_listing_risk
Hannover;https://www.immometrica.com/de/offer/27143459;30419;Ledeburg;Baldeniusstr. 35, 30419 Hannover;1,5 Zimmer Wohnung mit Weitblick ;120000.0;42.0;5.0;3.6;58.0;150.0;Modernisiert;gesunken;258.33;https://www.immometrica.com/de/offer/27143459;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/26693539;30890;Barsinghausen;Breite Str. 7, 30890 Barsinghausen;Wohnen in der Stadt: 2-Zimmerwohnung mit  Aufzug;139000.0;69.0;5.5;;98.0;223.0;Gepflegt;-;259.95;https://www.immometrica.com/de/offer/26693539;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/25698195;30823;Garbsen-Mitte;30823 Garbsen / Havelse (Havelse);Gepflegtes Einzimmer-Appartement in Garbsen/Havelse;125000.0;44.0;5.0;;186.0;;Gepflegt;gesunken;207.45;https://www.immometrica.com/de/offer/25698195;>180 Tage;-30;Altinserat-Risiko: sehr lange online;True;stale_listing_risk
Hannover;https://www.immometrica.com/de/offer/27636094;30419;Hannover;Hemelingstr. 4, 30419 Hannover;Attraktive 2 Zimmer Wohnung in Stöcken!;125000.0;52.84;5.5;4.8;15.0;249.44;Gepflegt;-;256.45;https://www.immometrica.com/de/offer/27636094;14–60 Tage;-5;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27712643;30916;Isernhagen F. B.;30916 Isernhagen;Im Zentrum von Altwarmbüchen leben;149000.0;61.0;5.1;;9.0;;Gepflegt;-;192.88;https://www.immometrica.com/de/offer/27712643;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/26810947;31832;Springe;31832, Springe;Zwei kompakte Wohneinheiten unter einem Dach – ideal für Kapitalanleger Mehrfamilienhaus;79900.0;54.0;7.7;3.7;88.0;270.0;Gepflegt;-;395.23;https://www.immometrica.com/de/offer/26810947;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/27006750;30519;Mittelfeld;30519 Hannover (Mittelfeld);2 Zimmer Wohnung in Hannover Döhren-Wülfel zu verkaufen;65000.0;30.0;6.7;;71.0;200.0;Gepflegt;-;338.87;https://www.immometrica.com/de/offer/27006750;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/26040796;30823;Garbsen-Mitte;Haberkamp 2, 30823 Garbsen;Gepflegte und zentrale 1-Zimmer-Wohnung mit Balkon | Garbsen!;114000.0;40.0;5.1;;153.0;255.0;Vollständig renoviert;gesunken;215.21;https://www.immometrica.com/de/offer/26040796;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/25883174;30880;Laatzen-Mitte;Flemingstraße 2, 30880, Laatzen;Neu vermietete 2 Zi.-ETW + 1 TG-Platz in Laatzen;115000.0;59.0;6.4;5.9;166.0;390.0;Gepflegt;-;298.52;https://www.immometrica.com/de/offer/25883174;61–180 Tage;-15;Stale Listing Due Diligence: alt, aber eventuell prüfbar;True;stale_due_diligence
Hannover;https://www.immometrica.com/de/offer/26899282;30455;Davenstedt;Wegsfeld 42, 30455 Hannover (Davenstedt);1- Zimmereigentumswohnung mit Balkon & Wellnessbereich im Terrassenhaus in Davenstedt;120000.0;55.3;5.7;;79.0;210.0;Renovierungsbedürftig;gesunken;280.53;https://www.immometrica.com/de/offer/26899282;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/27790363;31303;Burgdorf;Friederikenstr. 67, 31303 Burgdorf;Erdgeschosswohnung mit Terrasse in zentraler Lage;120000.0;60.0;5.7;;1.0;235.0;Renovierungsbedürftig;-;283.48;https://www.immometrica.com/de/offer/27790363;<14 Tage;0;kein Liquiditätsrisiko;False;no_liquidity_issue
Hannover;https://www.immometrica.com/de/offer/26834793;30629;Hannover;Findstellenweg 6, 30629 Hannover;2-Zimmer Eigentumswohnung in ruhiger Lage | Vermietet | Misburg-Nord;127400.0;55.61;5.5;3.7;86.0;229.0;Gepflegt;-;257.39;https://www.immometrica.com/de/offer/26834793;61–180 Tage;-15;prüfen;False;
Hannover;https://www.immometrica.com/de/offer/25037940;30419;Hannover;Lauckerthof 7, 30419 Hannover;Kapitalanlage in zentraler Lage von Hannover Stöcken - 2-Zimmer Wohnung mit Balkon;114000.0;51.0;5.9;4.5;239.0;400.0;Gepflegt;gesunken;248.97;https://www.immometrica.com/de/offer/25037940;>180 Tage;-30;Altinserat-Risiko: sehr lange online;True;stale_listing_risk
