dataset_label;details;plz;ort;adresse;titel;preis;wohnflaeche;roi_s;roi_i;tage_online;hausgeld;zustand;trend;cashflow;link_immometrica;online_bucket;liquiditaets_malus;audit_kategorie;manual_review_required
Leipzig;https://www.immometrica.com/de/offer/27666984;4155;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer-Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;84150.0;46.0;6.1;3.3;14.0;276.11;Gepflegt;-;291.89;https://www.immometrica.com/de/offer/27666984;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27740015;4277;Marienbrunn;04277 Marienbrunn, Leipzig;4,46 % Rendite | Balkon | Außenstellplatz | Wannenbad;99000.0;48.0;6.1;4.5;7.0;332.0;Modernisiert;-;277.17;https://www.immometrica.com/de/offer/27740015;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/25524300;4155;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700.0;39.0;6.1;3.1;210.0;240.69;Gepflegt;gesunken;293.63;https://www.immometrica.com/de/offer/25524300;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27666983;4155;Gohlis-Süd;Georg-Schumann-Str. 131, 04155 Leipzig;2 Zimmer Wohnung/Dachgeschoss mit Balkon - Kapitalanlage in Leipzig Gohlis-Süd;74700.0;39.0;6.1;3.1;14.0;240.69;Gepflegt;-;293.63;https://www.immometrica.com/de/offer/27666983;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/23928970;4316;Mölkau;04316 Leipzig (Mölkau);Vermietete 1-Raum-Eigentumswohnung mit Balkon, Lift und Stellplatz;68000.0;29.0;6.1;;344.0;190.0;Gepflegt;gesunken;305.63;https://www.immometrica.com/de/offer/23928970;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27582514;4249;Leipzig;Anton-Zickmantel-Str. 3, 04249 Leipzig;Idyllische  2 Zimmerwohnung mit Südbalkon in ruhiger Lage;99000.0;53.0;6.1;4.0;21.0;436.38;Gepflegt;-;244.17;https://www.immometrica.com/de/offer/27582514;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27331822;4179;Leipzig;Georg-Schwarz-Str. 89, 04179 Leipzig;Charmante, lichtdurchflutete 2‑Zimmer‑Altbauwohnung in begehrter Lage von Leipzig Alt‑West;89000.0;47.63;6.1;3.0;43.0;265.0;Saniert;-;290.45;https://www.immometrica.com/de/offer/27331822;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/24032094;4288;Leipzig;Hauptstr. 48C, 04288 Leipzig;Ruhiges Wohnen mit Blick ins Grüne – 2-Zimmer-Wohnung mit großer Terrasse und Tiefgaragenstellplatz;120000.0;65.41;6.0;3.7;335.0;205.0;Gepflegt;-;320.98;https://www.immometrica.com/de/offer/24032094;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/24266189;4157;Gohlis-Mitte;04157 Leipzig - Gohlis-Mitte 04157 Leipzig - Gohlis-Mitte;Single/Studenten-Apartment mit Balkon und Tiefgarage;80000.0;34.0;6.0;4.3;311.0;283.0;Gepflegt;gesunken;280.1;https://www.immometrica.com/de/offer/24266189;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/26215138;4178;Böhlitz-Ehrenberg;Pestalozzistr. 70, 04178 Leipzig (Böhlitz-Ehrenberg);Ruhige und begehrte Wohnlage - beste Infrastruktur - unter 2.200,- €/m², freiwerdende 2-Raum-Whg., Balkon, barrierefrei erreichbar, Aufzug;103000.0;48.6;6.0;3.6;139.0;206.0;Gepflegt;gesunken;324.98;https://www.immometrica.com/de/offer/26215138;61–180 Tage;-15;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/24200892;4249;Knautkleeberg-Knauthain;04249 Leipzig;ERSTKLASSIGE RENDITE FÜR IHR PORTFOLIO! // Vermietete 2-Raum-Wohnung mit Terrasse;130000.0;64.78;6.0;4.5;317.0;343.92;Gepflegt;gesunken;277.7;https://www.immometrica.com/de/offer/24200892;>180 Tage;-30;möglicher False Negative: gute ROI, aber stark altes Inserat;True
Leipzig;https://www.immometrica.com/de/offer/27764092;4177;Altlindenau;Rabenerstraße 7 WE13,04177 Leipzig / Altlindenau;Denkmalgeschützte 2-Raumwohnung mit Balkon in Leipzig-Altlindenau;99900.0;48.62;6.0;;5.0;243.0;Gepflegt;-;308.62;https://www.immometrica.com/de/offer/27764092;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/24395570;4249;Knautkleeberg-Knauthain;Giordano-Bruno-Str. 28, 04249 Leipzig;Charmante 2-Zimmer-Dachgeschosswohnung mit Loggia;130000.0;70.4;5.9;3.9;299.0;248.0;Vollständig renoviert;gesunken;301.7;https://www.immometrica.com/de/offer/24395570;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/25392872;4179;Leipzig;Georg-Schwarz-Str. 89, 04179 Leipzig;Charmante, lichtdurchflutete 2-Zimmer-Altbauwohnung in begehrter Lage von Leipzig Alt-West;89000.0;47.6;5.9;4.3;223.0;265.0;Modernisiert;gesunken;278.45;https://www.immometrica.com/de/offer/25392872;>180 Tage;-30;Grenzfall: attraktive ROI, aber sehr lange online;True
Leipzig;https://www.immometrica.com/de/offer/27522706;4319;Engelsdorf;Christian-Schmid-Straße 5 WE07, 04319 Leipzig / Engelsdorf (Engelsdorf);Vermietete 2-Zimmer-Wohnung mit Balkon -  solide Kapitalanlage in Leipzig-Engelsdorf;89900.0;46.5;5.9;4.3;26.0;314.0;Gepflegt;gesunken;264.28;https://www.immometrica.com/de/offer/27522706;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27688233;4319;Engelsdorf;Christian-Schmid-Straße 5 WE07, 04319 Engelsdorf, Leipzig;"Vermietete 2-Zimmer-Wohnung mit Balkon – 
solide Kapitalanlage in Leipzig-Engelsdorf";89900.0;46.53;5.9;4.3;12.0;314.0;Gepflegt;-;264.29;https://www.immometrica.com/de/offer/27688233;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27762601;4177;Altlindenau;Rabenerstraße 7 WE13, 04177 Altlindenau, Leipzig;Denkmalgeschützte 2-Raumwohnung mit Balkon in Leipzig-Altlindenau;99900.0;48.6;5.9;4.8;5.0;243.0;Gepflegt;-;301.86;https://www.immometrica.com/de/offer/27762601;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/26769608;4105;Zentrum-Nord;Pfaffendorfer Straße 20, 04105 Zentrum-Nord, Leipzig;*Im Herzen von Leipzig* Moderne Etagenwohnung mit Aufzug, EBK, Balkon, AR, TG-Stellplatz*;139600.0;55.96;5.9;0.0;92.0;290.0;Neuwertig;-;283.28;https://www.immometrica.com/de/offer/26769608;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27691140;4319;Engelsdorf;Christian-Schmid-Straße 5 WE07,04319 Leipzig / Engelsdorf;"Vermietete 2-Zimmer-Wohnung mit Balkon – 
solide Kapitalanlage in Leipzig-Engelsdorf";89900.0;46.53;5.9;4.3;12.0;314.0;Gepflegt;-;275.66;https://www.immometrica.com/de/offer/27691140;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27596178;4158;Lindenthal;Am Alten Flugfeld 82, 04158 Lindenthal, Leipzig;1-Zimmer-Wohnung in Leipzig-Lindenthal;79000.0;34.31;5.8;4.3;20.0;188.62;Gepflegt;-;307.48;https://www.immometrica.com/de/offer/27596178;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27038309;4288;Leipzig;Walter-Markov-Ring 37, 04288 Leipzig;++ Faktor 23, 1.954 EUR / m², PKW-Stellplatz, Balkon! 2-Zimmer Wohnung in Leipzig-Holzhausen ++;129000.0;66.0;5.8;4.3;69.0;240.65;Gepflegt;gesunken;292.33;https://www.immometrica.com/de/offer/27038309;61–180 Tage;-15;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/27784594;4159;Wahren;04159 Leipzig (Wahren);Vermietete, gepflegte ETW für Anleger in Vorstadtlage;119000.0;64.6;5.8;;2.0;302.95;Gepflegt;-;270.61;https://www.immometrica.com/de/offer/27784594;<14 Tage;0;kein Liquiditätsrisiko;False
Leipzig;https://www.immometrica.com/de/offer/27461798;4315;Volkmarsdorf;04315 Leipzig (Volkmarsdorf);**Eigentumswohnung im Leipziger Osten - vermietet!**;130000.0;65.0;5.8;3.6;31.0;348.0;Vollständig renoviert;-;279.04;https://www.immometrica.com/de/offer/27461798;14–60 Tage;-5;prüfen;False
Leipzig;https://www.immometrica.com/de/offer/26547734;4157;Leipzig;Wilhelm-Plesse-Str. 28, 04157 Leipzig;++ 1.941 EUR/ m², Dachloggia, Badewanne, beliebte Lage! Charmante 2-Zimmer Wohnung in Gohlis ++;120000.0;61.8;5.8;3.7;111.0;290.0;Gepflegt;-;273.98;https://www.immometrica.com/de/offer/26547734;61–180 Tage;-15;prüfen;False
